,frame_name,lp_cat,lp_all,lp_ratio,lp_cat_canny,lp_all_canny,lp_ratio_canny,blur,cat_x,cat_y,face_size,size_ratio,eyes,ears,nose,img_ctr,num_eye,num_ear,num_nose,eye_x1,eye_y1,eye_x2,eye_y2,eye_w1,eye_w2,eye_w,eye_h1,eye_h2,eye_h,eye_size,eye_ratio,nose_x,nose_y,ear_w1,ear_w2,ear_w,ear_h1,ear_h2,ear_h,video,avg_face,nose_to_ctr,avg_to_ctr,prob
84,IMG_0395.MOV_565.jpg,2.884198953892421,22.614370588983412,0.12753832535571244,16198.699311365908,4701.110552107733,3.445717587752378,0,0.39427083333333335,0.07685185185185185,370881.0,0.17885850694444444,"[(873, 263, 147, 119), (1154, 261, 136, 115)]","[[720, -9, 227, 250], [1242, -5, 251, 277]]","[[1018, 424, 119, 87]]","(960.0, 540.0)",2,2,1,873,263,1154,261,147,136,141.5,119,115,117.0,16555.5,0.04463830716591036,1018,424,227,251,239.0,250,277,263.5,IMG_0395,253424.28703703705,129.6919426949878,354.4449509462846,0.78
54,IMG_0395.MOV_459.jpg,2.4611602585698003,22.68960148210424,0.10847084557703532,13032.13058143108,5789.219261670518,2.251103299492334,0,0.5088541666666667,0.06759259259259259,275625.0,0.13292100694444445,"[(1043, 222, 141, 129), (1324, 236, 143, 112)]","[[880, -9, 236, 248], [1399, -5, 265, 242]]","[[1183, 386, 124, 91]]","(960.0, 540.0)",2,2,1,1043,222,1324,236,141,143,142.0,129,112,120.5,17111.0,0.062080725623582765,1183,386,236,265,250.5,248,242,245.0,IMG_0395,253424.28703703705,271.0073799733136,354.4449509462846,0.765
53,IMG_0395.MOV_456.jpg,4.3806197613481626,57.82829335028054,0.07575218820333578,39024.6222537784,15244.624521874368,2.559893961165284,0,0.515625,0.05925925925925926,266256.0,0.12840277777777778,"[(1043, 214, 145, 116), (1325, 220, 143, 116)]","[[884, -4, 231, 226], [1404, -4, 261, 239]]","[[1185, 366, 123, 102]]","(960.0, 540.0)",2,2,1,1043,214,1325,220,145,143,144.0,116,116,116.0,16704.0,0.06273661438615467,1185,366,231,261,246.0,226,239,232.5,IMG_0395,253424.28703703705,284.43101096751036,354.4449509462846,0.735
73,IMG_0395.MOV_531.jpg,4.2476558989016535,53.94715016879815,0.07873735471866325,38763.134432997416,14398.854235839397,2.6920985377096343,0,0.42291666666666666,0.060185185185185175,336400.0,0.16222993827160495,"[(930, 228, 128, 118), (1182, 239, 141, 113)]","[[822, -1, 191, 199], [1297, -5, 262, 251]]","[[1036, 384, 117, 86]]","(960.0, 540.0)",2,2,1,930,228,1182,239,128,141,134.5,118,113,115.5,15534.75,0.04617939952437574,1036,384,191,262,226.5,199,251,225.0,IMG_0395,253424.28703703705,173.5280957078709,354.4449509462846,0.73
70,IMG_0395.MOV_521.jpg,3.4292906935922733,38.984014697621994,0.08796658630957932,29142.98651748361,11156.980406807275,2.612085479661004,0,0.44479166666666653,0.09814814814814816,306916.0,0.14801118827160495,"[(952, 268, 139, 116), (1218, 278, 142, 110)]","[[822, -6, 230, 250], [1322, -6, 245, 310]]","[[1072, 422, 115, 89]]","(960.0, 540.0)",2,2,1,952,268,1218,278,139,142,140.5,116,110,113.0,15876.5,0.05172913761420063,1072,422,230,245,237.5,250,310,280.0,IMG_0395,253424.28703703705,162.68988905276197,354.4449509462846,0.72
48,IMG_0395.MOV_435.jpg,3.2864494105001225,30.26106014685589,0.1086032476903022,27065.146508023794,7528.707133087809,3.5949261977631672,0,0.4880208333333334,0.08703703703703704,323761.0,0.1561347415123457,"[(1296, 264, 176, 114), (1013, 275, 162, 120)]","[[852, -3, 248, 229], [1380, -7, 276, 206], [1328, 440, 124, 149]]","[[1164, 453, 118, 95]]","(960.0, 540.0)",2,3,1,1296,264,1013,275,176,162,169.0,114,120,117.0,19773.0,0.06107282841355197,1164,453,248,276,216.0,229,206,194.66666666666666,IMG_0395,253424.28703703705,221.77691493931465,354.4449509462846,0.72
55,IMG_0395.MOV_462.jpg,2.5620863336969792,26.02853095352837,0.09843376632631924,13219.109221117842,6366.090472954434,2.0764878031937544,0,0.4802083333333334,0.062037037037037036,368449.0,0.1776856674382716,"[(1029, 249, 145, 125), (1315, 251, 144, 119)]","[[1394, -5, 265, 250], [885, -22, 225, 306]]","[[1170, 415, 124, 96]]","(960.0, 540.0)",2,2,1,1029,249,1315,251,145,144,144.5,125,119,122.0,17629.0,0.04784651335734389,1170,415,265,225,245.0,250,306,278.0,IMG_0395,253424.28703703705,244.38698819699874,354.4449509462846,0.72
94,IMG_0395.MOV_602.jpg,3.8453919989799488,49.240766205799844,0.07809366700161174,35787.039061019364,13900.94381224703,2.5744323223211807,0,0.39895833333333336,0.30462962962962964,235225.0,0.11343798225308642,"[(806, 469, 149, 120), (1078, 486, 118, 95)]","[[703, 127, 296, 233], [1156, 151, 253, 262]]","[[940, 643, 109, 74]]","(960.0, 540.0)",2,2,1,806,469,1078,486,149,118,133.5,120,95,107.5,14351.25,0.061010734403230946,940,643,296,253,274.5,233,262,247.5,IMG_0395,253424.28703703705,104.92378186092989,354.4449509462846,0.71
49,IMG_0395.MOV_438.jpg,2.939417425627365,29.076369963891,0.10109299851658694,21477.594618651245,7227.289169177094,2.9717358909961407,0,0.4744791666666667,0.08425925925925926,356409.0,0.17187934027777774,"[(999, 285, 156, 118), (1278, 273, 168, 93)]","[[811, 0, 286, 233], [1378, -5, 267, 231], [1885, 24, 34, 128]]","[[1151, 449, 118, 90]]","(960.0, 540.0)",2,3,1,999,285,1278,273,156,168,162.0,118,93,105.5,17091.0,0.04795333451175476,1151,449,286,267,195.66666666666666,233,231,197.33333333333334,IMG_0395,253424.28703703705,211.57031927943012,354.4449509462846,0.71
78,IMG_0395.MOV_547.jpg,3.0038454775865016,28.254166456917964,0.10631513345710533,22301.591559004122,7090.095685643117,3.1454570640228567,0,0.4234375,0.1962962962962963,338724.0,0.16335069444444444,"[(919, 372, 140, 124), (1188, 380, 139, 130)]","[[799, 43, 218, 291], [1303, 50, 247, 345]]","[[1039, 550, 118, 88]]","(960.0, 540.0)",2,2,1,919,372,1188,380,140,139,139.5,124,130,127.0,17716.5,0.05230364544584972,1039,550,218,247,232.5,291,345,318.0,IMG_0395,253424.28703703705,79.63039620647382,354.4449509462846,0.71
